SectionID,PolderID,SurveyDate,Distance,Direction,Easting,Northing,Lat,Long,mSoB,mPWD,Code
1,Polder 7/2,19-Aug-23,0,Embankment to River,417257.7664,495323.1351,22.56523366,89.19242114,3.556,4.016,Embankment
1,Polder 7/2,19-Aug-23,1.5,Embankment to River,417256.4441,495323.8404,22.56523996,89.19240824,3.716,4.176,CL
1,Polder 7/2,19-Aug-23,3,Embankment to River,417255.1207,495324.5458,22.56524627,89.19239534,3.326,3.786,Embankment
1,Polder 7/2,19-Aug-23,5.999,Embankment to River,417252.476,495325.9565,22.56525888,89.19236954,1.376,1.836,Slope
1,Polder 7/2,19-Aug-23,9.441,Embankment to River,417249.4416,495327.5759,22.56527336,89.19233994,-1.79,-1.33,River Data
1,Polder 7/2,19-Aug-23,10.961,Embankment to River,417248.1005,495328.2907,22.56527975,89.19232686,-2.49,-2.03,River Data
1,Polder 7/2,19-Aug-23,13.386,Embankment to River,417245.9559,495329.4204,22.56528985,89.19230594,-3.49,-3.03,River Data
1,Polder 7/2,19-Aug-23,14.906,Embankment to River,417244.6158,495330.1351,22.56529625,89.19229287,-4.79,-4.33,River Data
1,Polder 7/2,19-Aug-23,17.542,Embankment to River,417242.2967,495331.3863,22.56530743,89.19227025,-5.69,-5.23,River Data
1,Polder 7/2,19-Aug-23,19.931,Embankment to River,417240.1901,495332.5102,22.56531748,89.1922497,-5.89,-5.43,River Data
1,Polder 7/2,19-Aug-23,22.521,Embankment to River,417237.9064,495333.7277,22.56532837,89.19222742,-6.09,-5.63,River Data
1,Polder 7/2,19-Aug-23,27.281,Embankment to River,417233.7089,495335.9674,22.5653484,89.19218648,-6.09,-5.63,River Data
1,Polder 7/2,19-Aug-23,29.433,Embankment to River,417231.8109,495336.9802,22.56535745,89.19216797,-6.09,-5.63,River Data
1,Polder 7/2,19-Aug-23,34.184,Embankment to River,417227.6213,495339.2146,22.56537743,89.1921271,-5.99,-5.53,River Data
1,Polder 7/2,19-Aug-23,36.569,Embankment to River,417225.5186,495340.3365,22.56538746,89.19210659,-5.49,-5.03,River Data
1,Polder 7/2,19-Aug-23,40.023,Embankment to River,417222.4733,495341.9612,22.56540199,89.19207689,-5.09,-4.63,River Data
1,Polder 7/2,19-Aug-23,44.56,Embankment to River,417218.4716,495344.0949,22.56542107,89.19203785,-4.79,-4.33,River Data
1,Polder 7/2,19-Aug-23,48.009,Embankment to River,417215.4303,495345.7175,22.56543558,89.19200819,-4.49,-4.03,River Data
1,Polder 7/2,19-Aug-23,50.175,Embankment to River,417213.5205,495346.7366,22.56544469,89.19198956,-4.29,-3.83,River Data
