SectionID,PolderID,SurveyDate,Distance,Direction,Easting,Northing,Lat,Long,mSoB,mPWD,Code
1,Polder 7/2,28-Aug-23,0,Embankment to River,424642.1843,484738.8515,22.46996718,89.26474933,3.786,4.246,Embankment
1,Polder 7/2,28-Aug-23,1.5,Embankment to River,424642.5762,484737.4043,22.46995412,89.26475321,3.926,4.386,CL
1,Polder 7/2,28-Aug-23,3,Embankment to River,424642.9691,484735.958,22.46994108,89.2647571,3.876,4.336,Embankment
1,Polder 7/2,28-Aug-23,4,Embankment to River,424643.2316,484734.9931,22.46993237,89.2647597,2.946,3.406,Slope
1,Polder 7/2,28-Aug-23,6,Embankment to River,424643.7548,484733.0644,22.46991497,89.26476487,2.456,2.916,Slope
1,Polder 7/2,28-Aug-23,11,Embankment to River,424645.0637,484728.2422,22.46987147,89.26477783,2.066,2.526,Slope
1,Polder 7/2,28-Aug-23,21,Embankment to River,424647.6824,484718.5977,22.46978446,89.26480374,1.766,2.226,Slope
1,Polder 7/2,28-Aug-23,31,Embankment to River,424650.3002,484708.9522,22.46969745,89.26482964,1.296,1.756,Slope
1,Polder 7/2,28-Aug-23,41,Embankment to River,424652.9189,484699.3077,22.46961044,89.26485556,0.966,1.426,Slope
1,Polder 7/2,28-Aug-23,43.74,Embankment to River,424653.6367,484696.6644,22.46958659,89.26486266,-0.84,-0.38,River Data
1,Polder 7/2,28-Aug-23,46.893,Embankment to River,424654.4614,484693.6241,22.46955917,89.26487082,0.16,0.62,River Data
1,Polder 7/2,28-Aug-23,49.132,Embankment to River,424655.0479,484691.4642,22.46953968,89.26487662,0.06,0.52,River Data
1,Polder 7/2,28-Aug-23,51.464,Embankment to River,424655.6587,484689.2159,22.4695194,89.26488267,-0.04,0.42,River Data
1,Polder 7/2,28-Aug-23,54.88,Embankment to River,424656.5533,484685.9214,22.46948968,89.26489152,-0.14,0.32,River Data
1,Polder 7/2,28-Aug-23,57.248,Embankment to River,424657.1733,484683.6369,22.46946907,89.26489765,-0.44,0.02,River Data
1,Polder 7/2,28-Aug-23,61.277,Embankment to River,424658.228,484679.7503,22.46943401,89.26490809,-0.44,0.02,River Data
1,Polder 7/2,28-Aug-23,64.835,Embankment to River,424659.1599,484676.3191,22.46940305,89.26491731,-0.64,-0.18,River Data
1,Polder 7/2,28-Aug-23,68.845,Embankment to River,424660.21,484672.4516,22.46936816,89.2649277,-0.74,-0.28,River Data
1,Polder 7/2,28-Aug-23,72.403,Embankment to River,424661.1409,484669.0194,22.4693372,89.26493691,-0.94,-0.48,River Data
1,Polder 7/2,28-Aug-23,76.413,Embankment to River,424662.191,484665.1519,22.46930231,89.2649473,-1.24,-0.78,River Data
1,Polder 7/2,28-Aug-23,80.003,Embankment to River,424663.1313,484661.6895,22.46927107,89.26495661,-1.54,-1.08,River Data
1,Polder 7/2,28-Aug-23,82.217,Embankment to River,424663.7103,484659.5548,22.46925182,89.26496234,-1.84,-1.38,River Data
1,Polder 7/2,28-Aug-23,86.236,Embankment to River,424664.7632,484655.6783,22.46921684,89.26497276,-2.14,-1.68,River Data
1,Polder 7/2,28-Aug-23,89.791,Embankment to River,424665.6942,484652.249,22.46918591,89.26498197,-2.44,-1.98,River Data
1,Polder 7/2,28-Aug-23,93.804,Embankment to River,424666.7442,484648.3786,22.46915099,89.26499236,-2.64,-2.18,River Data
1,Polder 7/2,28-Aug-23,97.394,Embankment to River,424667.6845,484644.9162,22.46911976,89.26500166,-2.94,-2.48,River Data
1,Polder 7/2,28-Aug-23,101.379,Embankment to River,424668.7281,484641.0728,22.46908508,89.26501199,-3.14,-2.68,River Data
1,Polder 7/2,28-Aug-23,103.618,Embankment to River,424669.3136,484638.914,22.46906561,89.26501778,-3.34,-2.88,River Data
1,Polder 7/2,28-Aug-23,107.173,Embankment to River,424670.2445,484635.4847,22.46903467,89.26502699,-3.44,-2.98,River Data
1,Polder 7/2,28-Aug-23,110.756,Embankment to River,424671.1829,484632.0294,22.4690035,89.26503628,-3.54,-3.08,River Data
