Chainage,Distance(m),UTM_X,UTM_Y,RL,Remarks,Bank
2100,0,793920,2488179,2.852,Land,Bank
2100,5,793916,2488176,2.788,Land, 
2100,10,793912,2488173,2.948,Land, 
2100,15,793908,2488170,2.958,Land, 
2100,17,793906,2488169,2.97,Land, 
2100,20,793904,2488167,3.306,RBT, 
2100,24,793901,2488165,1.797,Slope, 
2100,25,793900,2488164,1.559,Slope, 
2100,27,793898,2488163,1.855,Slope, 
2100,29,793897,2488162,1.202,Slope, 
2100,30,793896,2488161,1.16,WL, 
2100,31,793895,2488161,-2.127,Sounding, 
2100,32,793894,2488160,-2.122,Sounding, 
2100,35,793892,2488158,-2.31,Sounding, 
2100,39,793888,2488156,-2.62,Sounding, 
2100,44,793884,2488153,-2.797,Sounding, 
2100,47,793882,2488151,-3.094,Sounding, 
2100,52,793878,2488149,0.92,Bathy, 
2100,55,793875,2488147,0.82,Bathy, 
2100,57,793873,2488146,-0.32,Bathy, 
2100,60,793871,2488144,-1.26,Bathy, 
2100,63,793868,2488143,-2.04,Bathy, 
2100,66,793866,2488141,-2.68,Bathy, 
2100,71,793862,2488138,-3.47,Bathy, 
2100,75,793859,2488136,-3.99,Bathy, 
2100,78,793856,2488134,-4.65,Bathy, 
2100,83,793852,2488131,-5.12,Bathy, 
2100,85,793850,2488130,-5.6,Bathy, 
2100,89,793847,2488128,-5.97,Bathy, 
2100,94,793843,2488125,-6.37,Bathy, 
2100,99,793839,2488122,-6.94,Bathy, 
2100,103,793835,2488120,-7.64,Bathy, 
2100,109,793831,2488116,-8.17,Bathy, 
2100,116,793825,2488113,-8.09,Bathy, 
2100,121,793821,2488110,-8.01,Bathy, 
2100,126,793816,2488107,-7.95,Bathy, 
2100,134,793810,2488102,-7.86,Bathy, 
2100,140,793805,2488099,-7.81,Bathy, 
2100,146,793800,2488095,-7.79,Bathy, 
2100,154,793794,2488091,-7.76,Bathy, 
2100,160,793789,2488088,-7.77,Bathy, 
2100,166,793784,2488084,-7.85,Bathy, 
2100,171,793780,2488081,-7.88,Bathy, 
2100,178,793774,2488077,-7.92,Bathy, 
2100,184,793769,2488074,-7.86,Bathy, 
2100,190,793764,2488071,-7.93,Bathy, 
2100,196,793759,2488067,-7.94,Bathy, 
2100,205,793752,2488062,-8.08,Bathy, 
2100,212,793746,2488058,-8.11,Bathy, 
2100,218,793741,2488055,-8.05,Bathy, 
2100,226,793735,2488050,-8.12,Bathy, 
2100,233,793729,2488046,-8.25,Bathy, 
2100,240,793723,2488042,-8.19,Bathy, 
2100,248,793716,2488038,-8.22,Bathy, 
2100,257,793709,2488033,-8.24,Bathy, 
2100,264,793703,2488028,-8.2,Bathy, 
2100,270,793698,2488025,-8.24,Bathy, 
2100,277,793692,2488021,-8.31,Bathy, 
2100,282,793688,2488018,-8.37,Bathy, 
2100,286,793685,2488016,-8.39,Bathy, 
2100,291,793681,2488013,-8.37,Bathy, 
2100,298,793675,2488009,-8.4,Bathy, 
2100,305,793670,2488005,-8.46,Bathy, 
2100,312,793664,2488001,-8.42,Bathy, 
2100,318,793658,2487998,-8.5,Bathy, 
2100,325,793653,2487994,-8.56,Bathy, 
2100,333,793646,2487989,-8.5,Bathy, 
2100,340,793641,2487985,-8.45,Bathy, 
2100,347,793635,2487981,-8.24,Bathy, 
2100,354,793629,2487978,-8.06,Bathy, 
2100,359,793625,2487975,-7.85,Bathy, 
2100,363,793622,2487972,-7.61,Bathy, 
2100,369,793617,2487969,-6.88,Bathy, 
2100,375,793612,2487965,-7.89,Bathy, 
2100,378,793609,2487964,-6.77,Bathy, 
2100,383,793605,2487961,-6.52,Bathy, 
2100,388,793601,2487958,-7.33,Bathy, 
2100,394,793596,2487955,-7.21,Bathy, 
2100,402,793590,2487950,-7.04,Bathy, 
2100,407,793585,2487947,-7.02,Bathy, 
2100,416,793578,2487942,-6.87,Bathy, 
2100,422,793573,2487939,-6.71,Bathy, 
2100,428,793568,2487935,-6.6,Bathy, 
2100,434,793563,2487932,-6.35,Bathy, 
2100,441,793558,2487928,-6.37,Bathy, 
2100,446,793553,2487925,-6.19,Bathy, 
2100,453,793548,2487921,-6.21,Bathy, 
2100,460,793542,2487917,-6.04,Bathy, 
2100,466,793537,2487914,-5.96,Bathy, 
2100,471,793533,2487911,-5.86,Bathy, 
2100,477,793528,2487907,-5.53,Bathy, 
2100,483,793523,2487904,-5.55,Bathy, 
2100,487,793520,2487902,-5.48,Bathy, 
2100,490,793517,2487900,-5.48,Bathy, 
2100,495,793513,2487897,-5.02,Bathy, 
2100,497,793511,2487896,-5.18,Bathy, 
2100,501,793508,2487894,-4.73,Bathy, 
2100,506,793504,2487891,-5.06,Bathy, 
2100,509,793502,2487889,-4.82,Bathy, 
2100,513,793498,2487887,-4.73,Bathy, 
2100,517,793495,2487885,-4.72,Bathy, 
2100,522,793491,2487882,-4.84,Bathy, 
2100,527,793487,2487879,-4.5,Bathy, 
2100,531,793483,2487877,-4.18,Bathy, 
2100,536,793479,2487874,-4.14,Bathy, 
2100,543,793474,2487870,-4.27,Bathy, 
2100,547,793470,2487868,-4,Bathy, 
2100,552,793466,2487865,-3.75,Bathy, 
2100,557,793462,2487862,-3.66,Bathy, 
2100,562,793458,2487859,-3.6,Bathy, 
2100,566,793455,2487857,-3.43,Bathy, 
2100,573,793449,2487853,-2.79,Bathy, 
2100,578,793445,2487850,-3.06,Bathy, 
2100,583,793441,2487847,-2.96,Bathy, 
2100,588,793437,2487844,-2.8,Bathy, 
2100,594,793431,2487841,-2.63,Bathy, 
2100,599,793427,2487838,-2.59,Bathy, 
2100,604,793423,2487835,-2.44,Bathy, 
2100,610,793418,2487832,-2.29,Bathy, 
2100,615,793414,2487829,-1.86,Bathy, 
2100,622,793409,2487825,-1.49,Bathy, 
2100,627,793405,2487822,-0.8,Bathy, 
2100,632,793400,2487819,-0.07,Bathy, 
,,,,,,
2200,0,793806,2488231,3.474,House,Bank
2200,3,793804,2488229,3.647,Land, 
2200,4,793803,2488228,3.633,Land, 
2200,6,793801,2488227,3.376,RBT, 
2200,9,793799,2488226,2.088,Slope, 
2200,10,793798,2488225,2.105,Slope, 
2200,13,793796,2488223,1.01,WL, 
2200,14,793795,2488223,-2.762,Sounding, 
2200,15,793794,2488222,-2.882,Sounding, 
2200,16,793793,2488221,-3.584,Sounding, 
2200,19,793791,2488220,-3.279,Sounding, 
2200,20,793790,2488219,-3.573,Sounding, 
2200,23,793788,2488217,-3.94,Sounding, 
2200,29,793782,2488214,-3.17,Bathy, 
2200,31,793781,2488213,-3.7,Bathy, 
2200,33,793779,2488212,-4.44,Bathy, 
2200,37,793776,2488210,-4.81,Bathy, 
2200,39,793774,2488208,-5.26,Bathy, 
2200,43,793771,2488206,-5.75,Bathy, 
2200,49,793766,2488203,-6.46,Bathy, 
2200,52,793764,2488201,-6.8,Bathy, 
2200,59,793758,2488197,-7.75,Bathy, 
2200,64,793754,2488194,-8.46,Bathy, 
2200,70,793749,2488191,-8.94,Bathy, 
2200,76,793744,2488187,-8.82,Bathy, 
2200,81,793740,2488184,-8.76,Bathy, 
2200,87,793735,2488181,-8.7,Bathy, 
2200,93,793730,2488177,-8.68,Bathy, 
2200,99,793725,2488174,-8.56,Bathy, 
2200,105,793721,2488170,-8.55,Bathy, 
2200,109,793717,2488168,-8.48,Bathy, 
2200,114,793713,2488165,-8.42,Bathy, 
2200,120,793708,2488161,-8.39,Bathy, 
2200,126,793703,2488158,-8.28,Bathy, 
2200,133,793698,2488154,-8.32,Bathy, 
2200,137,793694,2488152,-8.3,Bathy, 
2200,143,793689,2488148,-8.28,Bathy, 
2200,148,793685,2488145,-8.28,Bathy, 
2200,154,793680,2488142,-8.27,Bathy, 
2200,161,793675,2488138,-8.27,Bathy, 
2200,166,793670,2488135,-8.28,Bathy, 
2200,173,793665,2488131,-8.26,Bathy, 
2200,178,793661,2488128,-8.27,Bathy, 
2200,186,793654,2488123,-8.24,Bathy, 
2200,192,793649,2488120,-8.25,Bathy, 
2200,199,793644,2488116,-8.22,Bathy, 
2200,204,793639,2488113,-8.22,Bathy, 
2200,209,793635,2488110,-8.21,Bathy, 
2200,216,793630,2488106,-8.22,Bathy, 
2200,221,793626,2488103,-8.18,Bathy, 
2200,227,793621,2488100,-8.19,Bathy, 
2200,232,793617,2488097,-8.17,Bathy, 
2200,239,793611,2488093,-8.2,Bathy, 
2200,245,793606,2488089,-8.25,Bathy, 
2200,251,793601,2488086,-8.27,Bathy, 
2200,257,793596,2488082,-8.23,Bathy, 
2200,262,793592,2488079,-8.06,Bathy, 
2200,267,793588,2488077,-7.84,Bathy, 
2200,272,793584,2488073,-7.71,Bathy, 
2200,278,793579,2488070,-7.47,Bathy, 
2200,285,793574,2488066,-7.29,Bathy, 
2200,291,793568,2488063,-7.14,Bathy, 
2200,297,793564,2488059,-7.23,Bathy, 
2200,303,793559,2488056,-7.1,Bathy, 
2200,305,793557,2488054,-7.54,Bathy, 
2200,313,793551,2488050,-7.14,Bathy, 
2200,320,793545,2488046,-6.99,Bathy, 
2200,327,793539,2488042,-6.78,Bathy, 
2200,336,793532,2488037,-6.57,Bathy, 
