Chainage ,Distance (m),,UTM_X,UTM_Y,RL,Remarks,Bank
0,0,,795950.768,2479455.738,2.104,Land,Bank
0,5,,795954.56,2479459,2.604,Land, 
0,10,,795958.352,2479462.262,3.932,Land, 
0,11,,795959.1104,2479462.914,4.234,RBT, 
0,12,,795959.8688,2479463.566,2.555,Slope, 
0,14,,795961.3856,2479464.871,0.804,Slope, 
0,16,,795962.9024,2479466.176,0.344,WL, 
0,17,,795963.6608,2479466.828,-1.456,Sounding, 
0,18,,795964.4192,2479467.481,-1.236,Sounding, 
0,19,,795965.1776,2479468.133,-1.756,Sounding, 
0,21,,795966.6944,2479469.438,-2.256,Sounding, 
0,25,,795968,2479474,-9.58,Bathy,
0,29,,795971,2479477,-9.7,Bathy,
0,35,,795976,2479480,-10.35,Bathy,
0,39,,795979,2479482,-11.01,Bathy,
0,41,,795981,2479483,-11.1,Bathy,
0,45,,795986,2479484,-11.4,Bathy,
0,47,,795988,2479484,-11.53,Bathy,
0,49,,795990,2479485,-12.09,Bathy,
0,53,,795994,2479487,-12.46,Bathy,
0,58,,795997,2479491,-12.07,Bathy,
0,63,,796001,2479494,-13.08,Bathy,
0,68,,796005,2479497,-12.76,Bathy,
0,71,,796007,2479499,-12.52,Bathy,
0,75,,796010,2479501,-12.48,Bathy,
0,77,,796012,2479502,-12.37,Bathy,
0,80,,796015,2479503,-11.92,Bathy,
0,83,,796017,2479505,-12.01,Bathy,
0,87,,796021,2479507,-11.89,Bathy,
0,92,,796025,2479510,-11.56,Bathy,
0,96,,796029,2479512,-11.19,Bathy,
0,100,,796032,2479514,-10.95,Bathy,
0,102,,796034,2479515,-10.75,Bathy,
0,106,,796037,2479517,-10.51,Bathy,
0,109,,796040,2479519,-10.38,Bathy,
0,114,,796043,2479522,-10.23,Bathy,
0,117,,796045,2479525,-10.08,Bathy,
0,120,,796047,2479527,-9.97,Bathy,
0,123,,796049,2479530,-9.84,Bathy,
0,127,,796051,2479533,-9.72,Bathy,
0,130,,796053,2479536,-9.6,Bathy,
0,133,,796055,2479539,-9.55,Bathy,
0,137,,796057,2479542,-9.4,Bathy,
0,140,,796059,2479545,-9.42,Bathy,
0,144,,796061,2479548,-9.34,Bathy,
0,147,,796063,2479551,-9.27,Bathy,
0,151,,796065,2479554,-9.19,Bathy,
0,155,,796068,2479557,-9.15,Bathy,
0,158,,796070,2479559,-9.09,Bathy,
0,163,,796074,2479563,-8.97,Bathy,
0,168,,796078,2479566,-9.06,Bathy,
100,0,,795863.9148,2479513.597,3.37,Land,Bank
100,3,,795866.2373,2479515.496,3.42,Land, 
100,7,,795869.3338,2479518.028,3.702,Land, 
100,8,,795870.108,2479518.661,4.449,Land, 
100,10,,795871.6563,2479519.927,4.583,RB, 
100,11,,795872.4304,2479520.56,2.426,Slope, 
100,12,,795873.2046,2479521.193,3.11,Slope, 
100,13,,795873.9787,2479521.826,1.915,Slope, 
100,15,,795875.527,2479523.092,1.636,Slope, 
100,17,,795877.0753,2479524.358,0.799,Slope, 
100,20,,795879.3977,2479526.257,0.349,WL, 
100,21,,795880.1718,2479526.89,-0.281,Sounding, 
100,22,,795880.946,2479527.523,-0.451,Sounding, 
100,23,,795881.7201,2479528.156,-1.251,Sounding, 
100,24,,795882.4943,2479528.789,-1.911,Sounding, 
100,25,,795883.2684,2479529.422,-2.501,Sounding, 
100,26,,795884.0426,2479530.055,-2.781,Sounding, 
100,30,,795887,2479533,-13.38,Bathy,
100,37,,795893,2479537,-13.38,Bathy,
100,43,,795897,2479541,-13.38,Bathy,
100,48,,795901,2479544,-14.19,Bathy,
100,54,,795906,2479548,-14.86,Bathy,
100,59,,795910,2479551,-16.27,Bathy,
100,66,,795915,2479555,-16.27,Bathy,
100,71,,795919,2479559,-14.11,Bathy,
100,78,,795924,2479563,-13.35,Bathy,
100,83,,795928,2479566,-12.33,Bathy,
100,91,,795934,2479571,-11.29,Bathy,
100,97,,795939,2479575,-10.57,Bathy,
100,102,,795943,2479578,-10.45,Bathy,
100,108,,795947,2479582,-10.29,Bathy,
100,113,,795952,2479585,-10.15,Bathy,
100,118,,795955,2479588,-10.06,Bathy,
100,122,,795958,2479591,-10.02,Bathy,
100,128,,795963,2479594,-9.91,Bathy,
100,133,,795967,2479598,-9.85,Bathy,
100,138,,795971,2479601,-9.7,Bathy,
100,143,,795975,2479604,-9.67,Bathy,
100,149,,795979,2479608,-9.55,Bathy,
100,152,,795981,2479610,-9.46,Bathy,
100,155,,795984,2479612,-9.46,Bathy,
100,159,,795987,2479614,-9.37,Bathy,
100,159,,795987,2479615,-9.31,Bathy,
100,160,,795988,2479615,-9.25,Bathy,
100,163,,795990,2479617,-9.22,Bathy,
100,164,,795991,2479618,-9.16,Bathy,
100,167,,795993,2479619,-9.15,Bathy,
100,169,,795995,2479620,-9.12,Bathy,
100,171,,795996,2479622,-9.09,Bathy,
100,174,,795998,2479624,-9,Bathy,
100,177,,796001,2479625,-8.55,Bathy,
100,179,,796002,2479627,-8.89,Bathy,
100,181,,796004,2479628,-8.82,Bathy,
100,184,,796007,2479630,-8.92,Bathy,
100,187,,796009,2479632,-8.89,Bathy,
100,191,,796012,2479635,-8.85,Bathy,
100,196,,796016,2479638,-8.83,Bathy,
100,199,,796018,2479639,-8.8,Bathy,
100,201,,796019,2479641,-8.64,Bathy,
100,206,,796023,2479644,-8.74,Bathy,
100,209,,796026,2479646,-8.65,Bathy,
100,212,,796028,2479648,-8.67,Bathy,
100,216,,796031,2479650,-8.65,Bathy,
100,221,,796035,2479653,-8.5,Bathy,
100,225,,796038,2479656,-8.17,Bathy,
100,225,,796038,2479656,-8.59,Bathy,
200,0,,795792.2061,2479584.056,4.02,Road,Bank
200,5,,795796.0768,2479587.222,4.05,Road, 
200,12,,795801.4958,2479591.652,4.24,Road, 
200,18,,795806.1406,2479595.45,4.26,Road, 
200,22,,795809.2373,2479597.982,4.12,Road, 
200,23,,795810.0114,2479598.615,3.89,Road, 
200,26,,795812.3339,2479600.515,3.73,RBT, 
200,27,,795813.1079,2479601.148,2.617,Slope, 
200,29,,795814.6563,2479602.413,1.027,Slope, 
200,32,,795816.9786,2479604.313,0.582,Slope, 
200,34,,795818.5269,2479605.578,0.357,WL, 
200,36,,795820.0752,2479606.845,0.017,Sounding, 
200,38,,795821.6236,2479608.111,-0.153,Sounding, 
200,40,,795823.1719,2479609.376,-0.393,Sounding, 
200,41,,795823.9459,2479610.01,-0.593,Sounding, 
200,43,,795825.4942,2479611.276,-0.903,Sounding, 
200,44,,795826.2684,2479611.908,-1.923,Sounding, 
200,45,,795827.0426,2479612.541,-2.383,Sounding, 
200,57,,795841,2479613,-4.86,Bathy,
200,59,,795842,2479616,-4.84,Bathy,
200,61,,795842,2479620,-5.8,Bathy,
200,65,,795844,2479623,-7.36,Bathy,
200,65,,795844,2479623,-7.63,Bathy,
200,68,,795847,2479625,-8.19,Bathy,
200,68,,795847,2479625,-8.22,Bathy,
200,71,,795849,2479627,-9.03,Bathy,
200,73,,795851,2479628,-8.98,Bathy,
200,76,,795854,2479629,-9.31,Bathy,
200,78,,795855,2479631,-9.84,Bathy,
