,run_line_name,X1,Y1,X2,Y2
0,A_G_MG_1,715322.675648143,2646858.0301457336,715531.0655551311,2647276.9575977456
1,A_G_MG_2,715331.5317553214,2646853.3858626196,715540.0169392367,2647272.5048503974
2,A_G_MG_3,715340.3878624998,2646848.741579505,715548.9683233424,2647268.0521030487
3,A_G_MG_4,715349.2439696783,2646844.097296391,715557.9197074481,2647263.5993557
4,A_G_MG_5,715358.1000768567,2646839.4530132767,715566.8710915538,2647259.1466083513
5,A_G_MG_6,715366.956184035,2646834.8087301627,715575.8224756594,2647254.6938610026
6,A_G_MG_7,715375.8122912134,2646830.1644470487,715584.773859765,2647250.2411136543
7,A_G_MG_8,715384.6683983919,2646825.520163934,715593.7252438709,2647245.7883663056
8,A_G_MG_9,715393.5245055703,2646820.87588082,715602.6766279765,2647241.335618957
9,A_G_MG_10,715402.3806127487,2646816.231597706,715611.6280120821,2647236.8828716082
10,A_G_MG_11,715411.236719927,2646811.5873145917,715620.5793961878,2647232.43012426
11,A_G_MG_12,715420.0928271055,2646806.9430314777,715629.5307802935,2647227.9773769113
12,A_G_MG_13,715428.9489342839,2646802.2987483633,715638.4821643992,2647223.5246295626
13,A_G_MG_14,715437.8050414623,2646797.6544652493,715647.4335485048,2647219.071882214
14,A_G_MG_15,715446.6611486407,2646793.0101821353,715656.3849326104,2647214.6191348657
15,A_G_MG_16,715455.517255819,2646788.365899021,715665.3363167162,2647210.166387517
16,A_G_MG_17,715464.3733629975,2646783.721615907,715674.2877008219,2647205.7136401683
17,A_G_MG_18,715473.2294701759,2646779.077332793,715683.2390849275,2647201.2608928196
18,A_G_MG_19,715482.0855773543,2646774.4330496783,715692.1904690332,2647196.8081454714
19,A_G_MG_20,715490.9416845327,2646769.7887665643,715701.1418531388,2647192.3553981227
20,A_G_MG_21,715499.7977917112,2646765.14448345,715710.0932372446,2647187.902650774
21,A_G_MG_22,715508.6538988895,2646760.500200336,715719.0446213502,2647183.4499034253
22,A_G_MG_23,715517.5100060679,2646755.855917222,715727.9960054558,2647178.997156077
23,A_G_MG_24,715526.3661132463,2646751.2116341074,715736.9473895616,2647174.5444087284
24,A_G_MG_25,715535.2222204248,2646746.5673509934,715745.8987736673,2647170.0916613797
25,A_G_MG_26,715544.0783276032,2646741.9230678794,715754.8501577729,2647165.638914031
26,A_G_MG_27,715552.9344347815,2646737.278784765,715763.8015418786,2647161.1861666823
27,A_G_MG_28,715561.7905419599,2646732.634501651,715772.7529259842,2647156.733419334
28,A_G_MG_29,715570.6466491384,2646727.9902185365,715781.70431009,2647152.2806719854
29,A_G_MG_30,715579.5027563168,2646723.3459354225,715790.6556941957,2647147.8279246367
30,A_G_MG_31,715588.3588634952,2646718.7016523085,715799.6070783013,2647143.3751772884
31,A_G_MG_32,715597.2149706736,2646714.057369194,715808.558462407,2647138.9224299397
32,A_G_MG_33,715606.0710778519,2646709.41308608,715817.5098465126,2647134.469682591
33,A_G_MG_34,715614.9271850304,2646704.768802966,715826.4612306183,2647130.0169352423
34,A_G_MG_35,715623.7832922088,2646700.1245198515,715835.412614724,2647125.5641878936
35,A_G_MG_36,715632.6393993872,2646695.4802367375,715844.3639988296,2647121.1114405454
36,A_G_MG_37,715641.4955065656,2646690.835953623,715853.3153829353,2647116.6586931967
37,A_G_MG_38,715650.351613744,2646686.191670509,715862.2667670411,2647112.205945848
38,A_G_MG_39,715659.2077209224,2646681.547387395,715865.1486551773,2647110.772388802
39,A_G_WR_1,716010.4145404374,2646551.942075324,716098.1728849775,2647121.710066537
40,A_G_WR_2,716020.36726501,2646550.9708525985,716108.0410923513,2647120.190118846
41,A_G_WR_3,716030.3199895826,2646549.9996298733,716117.9092997251,2647118.6701711547
42,A_G_WR_4,716040.2727141553,2646549.028407148,716127.7775070989,2647117.150223464
43,A_G_WR_5,716050.2254387278,2646548.0571844233,716137.6457144725,2647115.6302757724
44,A_G_WR_6,716060.1781633004,2646547.085961698,716147.5139218462,2647114.1103280815
45,A_G_WR_7,716070.130887873,2646546.114738973,716157.38212922,2647112.59038039
46,A_G_WR_8,716080.0836124456,2646545.1435162476,716167.2503365937,2647111.0704326993
47,A_G_WR_9,716090.0363370182,2646544.1722935224,716177.1185439675,2647109.5504850084
48,A_G_WR_10,716099.9890615909,2646543.201070797,716186.9867513413,2647108.030537317
49,A_G_WR_11,716109.9417861635,2646542.2298480724,716196.854958715,2647106.510589626
50,A_G_WR_12,716119.8945107361,2646541.258625347,716206.7231660888,2647104.990641935
51,A_G_WR_13,716129.8472353086,2646540.287402622,716216.5913734625,2647103.470694244
52,A_G_WR_14,716139.7999598812,2646539.3161798967,716226.4595808362,2647101.950746553
53,A_G_WR_15,716149.7526844539,2646538.3449571715,716236.32778821,2647100.4307988617
54,A_G_WR_16,716159.7054090265,2646537.3737344462,716246.1959955838,2647098.910851171
55,A_G_WR_17,716169.6581335991,2646536.4025117215,716256.0642029574,2647097.3909034794
56,A_G_WR_18,716179.6108581717,2646535.4312889962,716265.9324103312,2647095.8709557885
57,A_G_WR_19,716189.5635827443,2646534.460066271,716275.800617705,2647094.351008097
58,A_G_WR_20,716199.516307317,2646533.488843546,716285.6688250788,2647092.8310604063
59,A_G_WR_21,716209.4690318895,2646532.5176208206,716295.5370324524,2647091.3111127154
60,A_G_WR_22,716219.4217564621,2646531.5463980953,716305.4052398262,2647089.791165024
61,A_G_WR_23,716229.3744810347,2646530.57517537,716315.2734472,2647088.271217333
62,A_G_WR_24,716239.3272056073,2646529.6039526453,716325.1416545736,2647086.751269642
63,A_G_WR_25,716249.2799301799,2646528.63272992,716335.0098619474,2647085.231321951
64,A_G_WR_26,716259.2326547526,2646527.661507195,716344.8780693212,2647083.7113742596
65,A_G_WR_27,716269.1853793252,2646526.6902844696,716354.7462766949,2647082.1914265687
66,A_G_WR_28,716279.1381038977,2646525.7190617444,716364.6144840686,2647080.671478878
67,A_G_WR_29,716289.0908284703,2646524.747839019,716374.4826914424,2647079.1515311864
68,A_G_WR_30,716299.0435530429,2646523.7766162944,716384.3508988161,2647077.6315834955
69,A_G_WR_31,716308.9962776155,2646522.805393569,716391.9991289712,2647076.453567132
70,A_G_WR_32,716318.9490021882,2646521.834170844,716391.9991289712,2647076.453567132
71,A_G_WR_33,716328.9017267608,2646520.8629481187,716391.9991289712,2647076.453567132
72,A_G_WR_34,716338.8544513334,2646519.8917253935,716391.9991289712,2647076.453567132
73,A_G_WR_35,716348.807175906,2646518.9205026682,716391.9991289712,2647076.453567132
74,A_G_WR_36,716358.7599004785,2646517.949279943,716391.9991289712,2647076.453567132
75,A_R1_1,714712.3915303107,2648678.153404676,715248.715492358,2648653.7329353765
76,A_R1_2,714720.3533426415,2648578.470860846,715248.715492358,2648653.7329353765
77,A_R1_3,714728.3151549721,2648478.788317016,715262.9637033305,2648560.46238852
78,A_R1_4,714736.2769673029,2648379.105773186,715278.0257322217,2648461.864489167
79,A_R1_5,714744.2387796337,2648279.4232293563,715293.0877611126,2648363.2665898143
80,A_R1_6,714752.2005919643,2648179.7406855263,715308.1497900037,2648264.668690461
81,A_R1_7,714760.162404295,2648080.0581416963,715323.2118188948,2648166.070791108
82,A_R1_8,714768.1242166257,2647980.3755978663,715338.2738477859,2648067.472891755
83,A_R1_9,714776.0860289565,2647880.6930540362,715353.335876677,2647968.874992402
84,A_R1_10,714784.0478412872,2647781.010510206,715368.397905568,2647870.2770930487
85,A_R2_1,714789.7612823942,2647705.691059244,715383.4217367844,2647765.4174140026
86,A_R2_2,714820.0369750697,2647610.384278619,715383.4217367844,2647765.4174140026
87,A_R2_3,714850.3126677452,2647515.0774979945,715383.4217367844,2647765.4174140026
88,A_R2_4,714880.5883604207,2647419.7707173703,715423.5251796092,2647682.5622491594
89,A_R2_5,714910.8640530962,2647324.4639367457,715466.6461268406,2647593.4728109613
90,A_R2_6,714941.1397457717,2647229.157156121,715509.7670740722,2647504.383372763
91,A_R3_1,714945.091149329,2647218.590075981,715534.9458928702,2647442.810337675
92,A_R3_2,714997.1799759346,2647133.2275892384,715534.9458928702,2647442.810337675
93,A_R3_3,715049.26880254,2647047.865102496,715549.6671802957,2647423.1829515407
94,A_R3_4,715101.3576291456,2646962.5026157536,715609.3949536317,2647343.5499658985
95,A_R4_1,715126.9766472494,2646919.123640493,715592.7721985083,2647379.359517317
96,A_R4_2,715150.4545761807,2646910.533713072,715608.6648661989,2647363.274865336
97,A_R4_3,715173.9325051119,2646901.9437856507,715624.5575338898,2647347.190213355
98,A_R4_4,715197.410434043,2646893.3538582297,715640.4502015803,2647331.1055613738
99,A_R4_5,715220.8883629743,2646884.7639308083,715656.3428692712,2647315.0209093923
100,A_R4_6,715244.3662919055,2646876.1740033873,715672.2355369617,2647298.9362574113
101,A_R4_7,715267.8442208368,2646867.5840759664,715688.1282046523,2647282.8516054302
102,A_R4_8,715291.322149768,2646858.994148545,715704.0208723432,2647266.7669534488
103,A_R4_9,715314.8000786992,2646850.404221124,715719.9135400339,2647250.6823014678
104,A_R4_10,715338.2780076304,2646841.8142937026,715735.8062077246,2647234.5976494863
105,A_R4_11,715361.7559365616,2646833.2243662816,715740.1528269981,2647230.1985228155
