SectionID,PolderID,SurveyDate,Dist,Direction,Easting,Northing,Lat,Lon,mSoB,mPWD,Remarks,KMChainage
Xs_4_1,4,22/06/2022,0,Country Side to River Side,415417.0816,493412.6595,22.54788503,89.17462147,1.411,1.871,G/L,Km. 0.000
Xs_4_1,4,22/06/2022,10,Country Side to River Side,415418.0021,493422.6178,22.54797503,89.17462989,1.461,1.921,G/L,Km. 0.000
Xs_4_1,4,22/06/2022,20,Country Side to River Side,415418.9226,493432.5668,22.54806494,89.17463831,2.061,2.521,Toe,Km. 0.000
Xs_4_1,4,22/06/2022,21,Country Side to River Side,415419.0138,493433.5657,22.54807397,89.17463914,2.971,3.431,Slope,Km. 0.000
Xs_4_1,4,22/06/2022,24,Country Side to River Side,415419.2816,493436.5501,22.54810094,89.17464158,2.991,3.451,Slope,Km. 0.000
Xs_4_1,4,22/06/2022,26,Country Side to River Side,415419.4726,493438.5449,22.54811897,89.17464333,3.281,3.741,Edge of Embankment,Km. 0.000
Xs_4_1,4,22/06/2022,28,Country Side to River Side,415419.6521,493440.5305,22.54813692,89.17464497,3.191,3.651,C/L,Km. 0.000
Xs_4_1,4,22/06/2022,30,Country Side to River Side,415419.8316,493442.5159,22.54815486,89.17464661,3.241,3.701,Edge of Embankment,Km. 0.000
Xs_4_1,4,22/06/2022,32,Country Side to River Side,415420.0225,493444.5107,22.54817289,89.17464836,2.811,3.271,Slope,Km. 0.000
Xs_4_1,4,22/06/2022,37,Country Side to River Side,415420.4814,493449.4898,22.54821789,89.17465256,2.911,3.371,Toe,Km. 0.000
Xs_4_1,4,22/06/2022,39,Country Side to River Side,415420.6608,493451.4753,22.54823583,89.17465419,3.171,3.631,B/L,Km. 0.000
Xs_4_1,4,22/06/2022,43,Country Side to River Side,415421.0313,493455.4586,22.54827183,89.17465758,0.901,1.361,Slope,Km. 0.000
Xs_4_1,4,22/06/2022,46,Country Side to River Side,415421.3021,493458.44,22.54829878,89.17466006,0.761,1.221,Toe,Km. 0.000
Xs_4_1,4,22/06/2022,48,Country Side to River Side,415421.4815,493460.4378,22.54831683,89.17466169,-1.549,-1.089,Slope,Km. 0.000
Xs_4_1,4,22/06/2022,53,Country Side to River Side,415421.9404,493465.4169,22.54836183,89.17466589,-2.509,-2.049,Slope,Km. 0.000
Xs_4_1,4,22/06/2022,57,Country Side to River Side,415422.3109,493469.3972,22.54839781,89.17466928,-2.649,-2.189,Slope,Km. 0.000
Xs_4_2,4,22/06/2022,0,Country Side to River Side,415925.795,493489.4631,22.54860411,89.17956453,1.874,2.334,H/S,Km. 0.500
Xs_4_2,4,22/06/2022,5,Country Side to River Side,415923.2306,493493.7423,22.54864264,89.17953936,1.834,2.294,H/S,Km. 0.500
Xs_4_2,4,22/06/2022,10,Country Side to River Side,415920.6577,493498.034,22.54868128,89.17951411,1.954,2.414,H/S,Km. 0.500
Xs_4_2,4,22/06/2022,15,Country Side to River Side,415918.0963,493502.3224,22.54871989,89.17948897,1.874,2.334,H/S,Km. 0.500
Xs_4_2,4,22/06/2022,20,Country Side to River Side,415915.5234,493506.614,22.54875853,89.17946372,1.834,2.294,H/S,Km. 0.500
Xs_4_2,4,22/06/2022,20.5,Country Side to River Side,415915.2716,493507.0398,22.54876236,89.17946125,1.974,2.434,H/S,Km. 0.500
Xs_4_2,4,22/06/2022,22.5,Country Side to River Side,415914.2469,493508.7582,22.54877783,89.17945119,3.314,3.774,Toe,Km. 0.500
Xs_4_2,4,22/06/2022,23,Country Side to River Side,415913.9837,493509.1841,22.54878167,89.17944861,3.413,3.873,Edge of Embankment,Km. 0.500
Xs_4_2,4,22/06/2022,24.8,Country Side to River Side,415913.0667,493510.7328,22.54879561,89.17943961,3.426,3.886,P/E,Km. 0.500
Xs_4_2,4,22/06/2022,26.6,Country Side to River Side,415912.1383,493512.2692,22.54880944,89.1794305,3.45,3.91,C/L,Km. 0.500
Xs_4_2,4,22/06/2022,27.1,Country Side to River Side,415911.8864,493512.6951,22.54881328,89.17942803,3.294,3.754,P/E,Km. 0.500
Xs_4_2,4,22/06/2022,29,Country Side to River Side,415910.9099,493514.3333,22.54882803,89.17941844,2.24,2.7,Edge of Embankment,Km. 0.500
Xs_4_2,4,22/06/2022,30,Country Side to River Side,415910.3977,493515.1848,22.54883569,89.17941342,2.214,2.674,Toe,Km. 0.500
Xs_4_2,4,22/06/2022,35,Country Side to River Side,415907.8248,493519.4734,22.54887431,89.17938817,2.314,2.774,G/L,Km. 0.500
Xs_4_2,4,22/06/2022,40,Country Side to River Side,415905.2605,493523.7649,22.54891294,89.179363,2.054,2.514,G/L,Km. 0.500
Xs_4_2,4,22/06/2022,45,Country Side to River Side,415902.699,493528.0534,22.54895156,89.17933786,0.834,1.294,G/L,Km. 0.500
Xs_4_2,4,22/06/2022,50,Country Side to River Side,415900.1233,493532.3358,22.54899011,89.17931258,0.874,1.334,Low Land,Km. 0.500
Xs_4_2,4,22/06/2022,55,Country Side to River Side,415897.5618,493536.6242,22.54902872,89.17928744,1.024,1.484,Low Land,Km. 0.500
Xs_4_2,4,22/06/2022,60,Country Side to River Side,415894.9976,493540.9158,22.54906736,89.17926228,1.054,1.514,Low Land,Km. 0.500
Xs_4_3,4,22/06/2022,0,Country Side to River Side,416308.5969,493811.6419,22.55153333,89.18327011,0.406,0.866,G/L,Km. 1.000
Xs_4_3,4,22/06/2022,5,Country Side to River Side,416305.5996,493815.6407,22.55156931,89.18324075,0.406,0.866,Low Land,Km. 1.000
Xs_4_3,4,22/06/2022,10,Country Side to River Side,416302.5995,493819.6393,22.55160528,89.18321136,0.191,0.651,Low Land,Km. 1.000
Xs_4_3,4,22/06/2022,15,Country Side to River Side,416299.6022,493823.6287,22.55164117,89.183182,0.171,0.631,Low Land,Km. 1.000
Xs_4_3,4,22/06/2022,20,Country Side to River Side,416296.6021,493827.6274,22.55167714,89.18315261,0.191,0.651,Slope,Km. 1.000
Xs_4_3,4,22/06/2022,21,Country Side to River Side,416296.001,493828.4271,22.55168433,89.18314672,2.198,2.658,Edge of Embankment,Km. 1.000
Xs_4_3,4,22/06/2022,23,Country Side to River Side,416294.8015,493830.0205,22.55169867,89.18313497,3.328,3.788,P/E,Km. 1.000
Xs_4_3,4,22/06/2022,23.5,Country Side to River Side,416294.501,493830.4279,22.55170233,89.18313203,3.431,3.891,C/L,Km. 1.000
Xs_4_3,4,22/06/2022,25.3,Country Side to River Side,416293.4205,493831.8576,22.55171519,89.18312144,3.521,3.981,P/E,Km. 1.000
Xs_4_3,4,22/06/2022,27.1,Country Side to River Side,416292.3402,493833.2997,22.55172817,89.18311086,3.434,3.894,Edge of Embankment,Km. 1.000
Xs_4_3,4,22/06/2022,28.1,Country Side to River Side,416291.7361,493834.1025,22.55173539,89.18310494,3.265,3.725,Slope,Km. 1.000
Xs_4_3,4,22/06/2022,29.6,Country Side to River Side,416290.8402,493835.3005,22.55174617,89.18309617,2.516,2.976,Toe,Km. 1.000
Xs_4_3,4,22/06/2022,31.6,Country Side to River Side,416289.6434,493836.8938,22.5517605,89.18308444,1.241,1.701,G/L,Km. 1.000
Xs_4_3,4,22/06/2022,35,Country Side to River Side,416287.5961,493839.6142,22.55178497,89.18306439,0.931,1.391,G/L,Km. 1.000
Xs_4_3,4,22/06/2022,40,Country Side to River Side,416284.5989,493843.6128,22.55182094,89.18303503,0.951,1.411,G/L,Km. 1.000
Xs_4_3,4,22/06/2022,45,Country Side to River Side,416281.5903,493847.6116,22.55185692,89.18300556,0.931,1.391,G/L,Km. 1.000
Xs_4_3,4,22/06/2022,50,Country Side to River Side,416278.5901,493851.601,22.55189281,89.18297617,0.951,1.411,G/L,Km. 1.000
Xs_4_4,4,22/06/2022,0,Country Side to River Side,416619.4468,493700.392,22.55054372,89.18629906,1.553,2.013,G/L,Km. 1.500
Xs_4_4,4,22/06/2022,5,Country Side to River Side,416624.281,493701.6849,22.55055564,89.186346,1.455,1.915,G/L,Km. 1.500
Xs_4_4,4,22/06/2022,10,Country Side to River Side,416629.1037,493702.9779,22.55056756,89.18639283,1.369,1.829,G/L,Km. 1.500
Xs_4_4,4,22/06/2022,15,Country Side to River Side,416633.9293,493704.2585,22.55057936,89.18643969,1.529,1.989,G/L,Km. 1.500
Xs_4_4,4,22/06/2022,20,Country Side to River Side,416638.7636,493705.5514,22.55059128,89.18648664,1.669,2.129,Toe,Km. 1.500
Xs_4_4,4,22/06/2022,21.5,Country Side to River Side,416640.2109,493705.9433,22.55059489,89.18650069,2.799,3.259,Slope,Km. 1.500
Xs_4_4,4,22/06/2022,23,Country Side to River Side,416641.6583,493706.3228,22.55059839,89.18651475,4.034,4.494,Edge of Embankment,Km. 1.500
Xs_4_4,4,22/06/2022,24.5,Country Side to River Side,416643.1058,493706.7147,22.550602,89.18652881,4.095,4.555,C/L,Km. 1.500
Xs_4_4,4,22/06/2022,26,Country Side to River Side,416644.5532,493707.1066,22.55060561,89.18654286,4.093,4.553,Edge of Embankment,Km. 1.500
Xs_4_4,4,22/06/2022,28,Country Side to River Side,416646.4811,493707.6158,22.55061031,89.18656158,3.059,3.519,Slope,Km. 1.500
Xs_4_4,4,22/06/2022,30,Country Side to River Side,416648.4119,493708.1373,22.55061511,89.18658033,2.119,2.579,Toe,Km. 1.500
Xs_4_4,4,22/06/2022,35,Country Side to River Side,416653.2462,493709.4302,22.55062703,89.18662728,1.599,2.059,Char,Km. 1.500
Xs_4_4,4,22/06/2022,40,Country Side to River Side,416658.0689,493710.7108,22.55063883,89.18667411,1.569,2.029,Char,Km. 1.500
Xs_4_4,4,22/06/2022,45,Country Side to River Side,416662.8945,493712.0038,22.55065075,89.18672097,1.529,1.989,Char,Km. 1.500
Xs_4_4,4,22/06/2022,48,Country Side to River Side,416665.798,493712.7875,22.55065797,89.18674917,1.589,2.049,Char,Km. 1.500
Xs_4_4,4,22/06/2022,50,Country Side to River Side,416667.7288,493713.2967,22.55066267,89.18676792,1.609,2.069,Char,Km. 1.500
Xs_4_5,4,22/06/2022,0,Country Side to River Side,416678.0246,493208.7054,22.54610514,89.18689475,0.525,0.985,Fishing Project,Km. 2.000
Xs_4_5,4,22/06/2022,5,Country Side to River Side,416683.0197,493208.5644,22.54610411,89.18694333,0.465,0.925,Fishing Project,Km. 2.000
Xs_4_5,4,22/06/2022,10,Country Side to River Side,416688.0176,493208.4234,22.54610308,89.18699194,0.505,0.965,Fishing Project,Km. 2.000
